GENE,Neuron
VAT1L,Neuron_D2-MSN
CDH8,Neuron_D2-MSN
RYR3,Neuron_D2-MSN
TPD52L1,Neuron_D2-MSN
TESC,Neuron_D2-MSN
SV2B,Neuron_D2-MSN
LMO3,Neuron_D2-MSN
FNDC5,Neuron_D2-MSN
MRO,Neuron_D2-MSN
KCTD17,Neuron_D2-MSN
UTRN,Neuron_D2-MSN
SKAP2,Neuron_D2-MSN
CHRNA4,Neuron_D2-MSN
MPP6,Neuron_D2-MSN
CHCHD10,Neuron_D2-MSN
CAMKK2,Neuron_D2-MSN
MPPED2,Neuron_D2-MSN
ANO3,Neuron_D2-MSN
SLC41A1,Neuron_D2-MSN
TIAM2,Neuron_D2-MSN
TMEM90A,Neuron_D2-MSN
OSBPL1A,Neuron_D2-MSN
TRNP1,Neuron_D2-MSN
RGS2,Neuron_D2-MSN
UNC5D,Neuron_D2-MSN
ELMO1,Neuron_D2-MSN
GPX6,Neuron_D2-MSN
CD163,Neuron_D2-MSN
CALN1,Neuron_D2-MSN
RHOBTB2,Neuron_D2-MSN
DLGAP3,Neuron_D2-MSN
PELI2,Neuron_D2-MSN
RIC8B,Neuron_D2-MSN
PHYHIP,Neuron_D2-MSN
KCNA2,Neuron_D2-MSN
MESDC1,Neuron_D2-MSN
PPP1R1B,Neuron_D2-MSN
TBC1D8,Neuron_D2-MSN
GPX1,Neuron_D2-MSN
ITGA5,Neuron_D2-MSN
2010001M06RIK,Neuron_D2-MSN
GM19461,Neuron_D2-MSN
NECAB2,Neuron_D2-MSN
RASGEF1B,Neuron_D2-MSN
CLVS1,Neuron_D2-MSN
SIX3,Neuron_D2-MSN
SC4MOL,Neuron_D2-MSN
NEXN,Neuron_D2-MSN
TGFA,Neuron_D2-MSN
DGKG,Neuron_D2-MSN
GPRIN3,Neuron_D2-MSN
PPP1R7,Neuron_D2-MSN
DHRS3,Neuron_D2-MSN
EGR1,Neuron_D2-MSN
FAM163B,Neuron_D2-MSN
PLD5,Neuron_D2-MSN
AUTS2,Neuron_D2-MSN
KLHL1,Neuron_D2-MSN
SMPD3,Neuron_D2-MSN
SORCS2,Neuron_D2-MSN
D3BWG0562E,Neuron_D2-MSN
MINK1,Neuron_D2-MSN
MAL2,Neuron_D2-MSN
ADCY5,Neuron_D2-MSN
SHB,Neuron_D2-MSN
CD72,Neuron_D2-MSN
CACNG2,Neuron_D2-MSN
ACVR1C,Neuron_D2-MSN
DAB2IP,Neuron_D2-MSN
TMEM47,Neuron_D2-MSN
DBP,Neuron_D2-MSN
ACVRL1,Neuron_D2-MSN
WBSCR17,Neuron_D2-MSN
VAV3,Neuron_D2-MSN
GRIA3,Neuron_D2-MSN
PRMT8,Neuron_D2-MSN
TPM2,Neuron_D2-MSN
SYT6,Neuron_D2-MSN
ACTN2,Neuron_D2-MSN
IQGAP2,Neuron_D2-MSN
NR1D1,Neuron_D2-MSN
ITGB1BP1,Neuron_D2-MSN
GNG7,Neuron_D2-MSN
TMTC1,Neuron_D2-MSN
WDR17,Neuron_D2-MSN
ODZ3,Neuron_D2-MSN
SYNPO2,Neuron_D2-MSN
PLD3,Neuron_D2-MSN
LIMCH1,Neuron_D2-MSN
D18ERTD653E,Neuron_D2-MSN
RPS6KA4,Neuron_D2-MSN
DMKN,Neuron_D2-MSN
ITPR1,Neuron_D2-MSN
RORA,Neuron_D2-MSN
CLDN1,Neuron_D2-MSN
CAP1,Neuron_D2-MSN
NGEF,Neuron_D2-MSN
SCRN1,Neuron_D2-MSN
BAG5,Neuron_D2-MSN
FAM59A,Neuron_D2-MSN
CDH6,Neuron_D2-MSN
ELL2,Neuron_D2-MSN
GNAL,Neuron_D2-MSN
CHMP1B,Neuron_D2-MSN
PTPN7,Neuron_D2-MSN
IVNS1ABP,Neuron_D2-MSN
EPB4.1,Neuron_D2-MSN
AKAP9,Neuron_D2-MSN
TPM1,Neuron_D2-MSN
AHNAK,Neuron_D2-MSN
ARG2,Neuron_D2-MSN
CD4,Neuron_D2-MSN
FST,Neuron_D2-MSN
INDO,Neuron_D2-MSN
IQCB1,Neuron_D2-MSN
MN1,Neuron_D2-MSN
SEC16A,Neuron_D2-MSN
AU024582,Neuron_D2-MSN
1110004P15RIK,Neuron_D2-MSN
AU024582,Neuron_D2-MSN
D030060O14RIK,Neuron_D2-MSN
KLHL1,Neuron_D2-MSN
TTC12,Neuron_D2-MSN
PUM1,Neuron_D2-MSN
D430042O09RIK,Neuron_D2-MSN
PLXNB2,Neuron_D2-MSN
SRC,Neuron_D2-MSN
SATB2,Neuron_D2-MSN
6430527G18RIK,Neuron_D2-MSN
USF1,Neuron_D2-MSN
PEG3,Neuron_D2-MSN
MRVLDC3,Neuron_D2-MSN
ASH1L,Neuron_D2-MSN
C230078M08RIK,Neuron_D2-MSN
AKT2,Neuron_D2-MSN
ERCC4,Neuron_D2-MSN
D5ERTD679E,Neuron_D2-MSN
FRAT2,Neuron_D2-MSN
FST,Neuron_D2-MSN
GTPBP2,Neuron_D2-MSN
9930116O05RIK,Neuron_D2-MSN
D8ERTD82E,Neuron_D2-MSN
ASH1L,Neuron_D2-MSN
APG5L,Neuron_D2-MSN
NUP153,Neuron_D2-MSN
HRH3,Neuron_D2-MSN
A330001L22RIK,Neuron_D2-MSN
4921518B13RIK,Neuron_D2-MSN
MAPK8IP3,Neuron_D2-MSN
BCL9L,Neuron_D2-MSN
SLC25A26,Neuron_D2-MSN
DAPK1,Neuron_D2-MSN
D430042O09RIK,Neuron_D2-MSN
PEG3,Neuron_D2-MSN
A230051G13RIK,Neuron_D2-MSN
9930116O05RIK,Neuron_D2-MSN
ADARB2,Neuron_Neurogenic progenitor
ZFP704,Neuron_Neurogenic progenitor
TUBB2B,Neuron_Neurogenic progenitor
IGFBPL1,Neuron_Neurogenic progenitor
NOL4,Neuron_Neurogenic progenitor
PLXNA4,Neuron_Neurogenic progenitor
PBX3,Neuron_Neurogenic progenitor
SHTN1,Neuron_Neurogenic progenitor
SOX4,Neuron_Neurogenic progenitor
ROBO2,Neuron_Neurogenic progenitor
BTG1,Neuron_Neurogenic progenitor
MAML3,Neuron_Neurogenic progenitor
SDK2,Neuron_Neurogenic progenitor
PBX1,Neuron_Neurogenic progenitor
TUBB5,Neuron_Neurogenic progenitor
SP8,Neuron_Neurogenic progenitor
ENOX1,Neuron_Neurogenic progenitor
NAV3,Neuron_Neurogenic progenitor
PDE4DIP,Neuron_Neurogenic progenitor
PLCL1,Neuron_Neurogenic progenitor
SPON1,Neuron_Neurogenic progenitor
SOX11,Neuron_Neurogenic progenitor
CD24A,Neuron_Neurogenic progenitor
MSRA,Neuron_Neurogenic progenitor
H3F3A,Neuron_Neurogenic progenitor
GRIP1,Neuron_Neurogenic progenitor
PFN2,Neuron_Neurogenic progenitor
BRINP2,Neuron_Neurogenic progenitor
